cyear,city,country,cavgtemp,gyear,gavgtemp
1750,Berlin,Germany,9.83,1750,8.72
1751,Berlin,Germany,9.75,1751,7.98
1752,Berlin,Germany,4.84,1752,5.78
1753,Berlin,Germany,8.72,1753,8.39
1754,Berlin,Germany,8.49,1754,8.47
1755,Berlin,Germany,8.26,1755,8.36
1756,Berlin,Germany,9.62,1756,8.85
1757,Berlin,Germany,9.15,1757,9.02
1758,Berlin,Germany,8.25,1758,6.74
1759,Berlin,Germany,9.04,1759,7.99
1760,Berlin,Germany,8.99,1760,7.19
1761,Berlin,Germany,9.47,1761,8.77
1762,Berlin,Germany,8.53,1762,8.61
1763,Berlin,Germany,8.62,1763,7.50
1764,Berlin,Germany,8.91,1764,8.40
1765,Berlin,Germany,8.54,1765,8.25
1766,Berlin,Germany,8.87,1766,8.41
1767,Berlin,Germany,8.14,1767,8.22
1768,Berlin,Germany,8.03,1768,6.78
1769,Berlin,Germany,8.46,1769,7.69
1770,Berlin,Germany,8.50,1770,7.69
1771,Berlin,Germany,7.45,1771,7.85
1772,Berlin,Germany,9.13,1772,8.19
1773,Berlin,Germany,9.52,1773,8.22
1774,Berlin,Germany,8.46,1774,8.77
1775,Berlin,Germany,10.10,1775,9.18
1776,Berlin,Germany,8.36,1776,8.30
1777,Berlin,Germany,8.29,1777,8.26
1778,Berlin,Germany,9.43,1778,8.54
1779,Berlin,Germany,10.47,1779,8.98
1780,Berlin,Germany,8.78,1780,9.43
1781,Berlin,Germany,9.98,1781,8.10
1782,Berlin,Germany,8.61,1782,7.90
1783,Berlin,Germany,9.76,1783,7.68
1784,Berlin,Germany,7.67,1784,7.86
1785,Berlin,Germany,7.42,1785,7.36
1786,Berlin,Germany,7.68,1786,8.26
1787,Berlin,Germany,9.27,1787,8.03
1788,Berlin,Germany,8.33,1788,8.45
1789,Berlin,Germany,8.99,1789,8.33
1790,Berlin,Germany,9.09,1790,7.98
1791,Berlin,Germany,9.55,1791,8.23
1792,Berlin,Germany,8.90,1792,8.09
1793,Berlin,Germany,9.18,1793,8.23
1794,Berlin,Germany,10.02,1794,8.53
1795,Berlin,Germany,8.87,1795,8.35
1796,Berlin,Germany,9.01,1796,8.27
1797,Berlin,Germany,10.07,1797,8.51
1798,Berlin,Germany,9.33,1798,8.67
1799,Berlin,Germany,6.72,1799,8.51
1800,Berlin,Germany,8.60,1800,8.48
1801,Berlin,Germany,9.61,1801,8.59
1802,Berlin,Germany,9.08,1802,8.58
1803,Berlin,Germany,8.02,1803,8.50
1804,Berlin,Germany,8.36,1804,8.84
1805,Berlin,Germany,7.20,1805,8.56
1806,Berlin,Germany,9.67,1806,8.43
1807,Berlin,Germany,9.42,1807,8.28
1808,Berlin,Germany,8.15,1808,7.63
1809,Berlin,Germany,8.66,1809,7.08
1810,Berlin,Germany,8.46,1810,6.92
1811,Berlin,Germany,9.93,1811,6.86
1812,Berlin,Germany,7.35,1812,7.05
1813,Berlin,Germany,8.66,1813,7.74
1814,Berlin,Germany,7.46,1814,7.59
1815,Berlin,Germany,8.38,1815,7.24
1816,Berlin,Germany,7.75,1816,6.94
1817,Berlin,Germany,8.92,1817,6.98
1818,Berlin,Germany,9.00,1818,7.83
1819,Berlin,Germany,9.43,1819,7.37
1820,Berlin,Germany,7.86,1820,7.62
1821,Berlin,Germany,9.15,1821,8.09
1822,Berlin,Germany,10.05,1822,8.19
1823,Berlin,Germany,8.26,1823,7.72
1824,Berlin,Germany,9.61,1824,8.55
1825,Berlin,Germany,9.32,1825,8.39
1826,Berlin,Germany,9.35,1826,8.36
1827,Berlin,Germany,8.99,1827,8.81
1828,Berlin,Germany,8.94,1828,8.17
1829,Berlin,Germany,6.52,1829,7.94
1830,Berlin,Germany,8.08,1830,8.52
1831,Berlin,Germany,8.93,1831,7.64
1832,Berlin,Germany,8.34,1832,7.45
1833,Berlin,Germany,8.89,1833,8.01
1834,Berlin,Germany,10.40,1834,8.15
1835,Berlin,Germany,8.81,1835,7.39
1836,Berlin,Germany,8.88,1836,7.70
1837,Berlin,Germany,8.12,1837,7.38
1838,Berlin,Germany,6.98,1838,7.51
1839,Berlin,Germany,8.63,1839,7.63
1840,Berlin,Germany,7.74,1840,7.80
1841,Berlin,Germany,9.06,1841,7.69
1842,Berlin,Germany,8.51,1842,8.02
1843,Berlin,Germany,9.18,1843,8.17
1844,Berlin,Germany,7.85,1844,7.65
1845,Berlin,Germany,7.92,1845,7.85
1846,Berlin,Germany,9.84,1846,8.55
1847,Berlin,Germany,8.24,1847,8.09
1848,Berlin,Germany,8.75,1848,7.98
1849,Berlin,Germany,8.03,1849,7.98
1850,Berlin,Germany,8.20,1850,7.90
1851,Berlin,Germany,8.50,1851,8.18
1852,Berlin,Germany,9.54,1852,8.10
1853,Berlin,Germany,7.55,1853,8.04
1854,Berlin,Germany,8.69,1854,8.21
1855,Berlin,Germany,7.07,1855,8.11
1856,Berlin,Germany,8.50,1856,8.00
1857,Berlin,Germany,9.39,1857,7.76
1858,Berlin,Germany,7.97,1858,8.10
1859,Berlin,Germany,9.60,1859,8.25
1860,Berlin,Germany,8.00,1860,7.96
1861,Berlin,Germany,8.87,1861,7.85
1862,Berlin,Germany,8.91,1862,7.56
1863,Berlin,Germany,9.81,1863,8.11
1864,Berlin,Germany,6.99,1864,7.98
1865,Berlin,Germany,8.88,1865,8.18
1866,Berlin,Germany,9.44,1866,8.29
1867,Berlin,Germany,8.41,1867,8.44
1868,Berlin,Germany,10.24,1868,8.25
1869,Berlin,Germany,9.06,1869,8.43
1870,Berlin,Germany,7.57,1870,8.20
1871,Berlin,Germany,7.08,1871,8.12
1872,Berlin,Germany,9.97,1872,8.19
1873,Berlin,Germany,9.27,1873,8.35
1874,Berlin,Germany,9.08,1874,8.43
1875,Berlin,Germany,8.04,1875,7.86
1876,Berlin,Germany,8.64,1876,8.08
1877,Berlin,Germany,8.95,1877,8.54
1878,Berlin,Germany,9.38,1878,8.83
1879,Berlin,Germany,7.46,1879,8.17
1880,Berlin,Germany,9.08,1880,8.12
1881,Berlin,Germany,7.75,1881,8.27
1882,Berlin,Germany,9.28,1882,8.13
1883,Berlin,Germany,8.54,1883,7.98
1884,Berlin,Germany,9.20,1884,7.77
1885,Berlin,Germany,8.47,1885,7.92
1886,Berlin,Germany,8.55,1886,7.95
1887,Berlin,Germany,7.93,1887,7.91
1888,Berlin,Germany,7.61,1888,8.09
1889,Berlin,Germany,8.34,1889,8.32
1890,Berlin,Germany,8.35,1890,7.97
1891,Berlin,Germany,8.48,1891,8.02
1892,Berlin,Germany,8.28,1892,8.07
1893,Berlin,Germany,8.50,1893,8.06
1894,Berlin,Germany,8.96,1894,8.16
1895,Berlin,Germany,8.28,1895,8.15
1896,Berlin,Germany,8.57,1896,8.21
1897,Berlin,Germany,8.69,1897,8.29
1898,Berlin,Germany,9.42,1898,8.18
1899,Berlin,Germany,8.96,1899,8.40
1900,Berlin,Germany,9.16,1900,8.50
1901,Berlin,Germany,8.58,1901,8.54
1902,Berlin,Germany,7.63,1902,8.30
1903,Berlin,Germany,9.28,1903,8.22
1904,Berlin,Germany,9.15,1904,8.09
1905,Berlin,Germany,8.90,1905,8.23
1906,Berlin,Germany,9.31,1906,8.38
1907,Berlin,Germany,8.52,1907,7.95
1908,Berlin,Germany,8.35,1908,8.19
1909,Berlin,Germany,8.16,1909,8.18
1910,Berlin,Germany,9.33,1910,8.22
1911,Berlin,Germany,9.89,1911,8.18
1912,Berlin,Germany,8.49,1912,8.17
1913,Berlin,Germany,9.41,1913,8.30
1914,Berlin,Germany,9.50,1914,8.59
1915,Berlin,Germany,8.56,1915,8.59
1916,Berlin,Germany,9.30,1916,8.23
1917,Berlin,Germany,8.39,1917,8.02
1918,Berlin,Germany,9.42,1918,8.13
1919,Berlin,Germany,8.00,1919,8.38
1920,Berlin,Germany,9.37,1920,8.36
1921,Berlin,Germany,9.78,1921,8.57
1922,Berlin,Germany,7.76,1922,8.41
1923,Berlin,Germany,8.58,1923,8.42
1924,Berlin,Germany,8.30,1924,8.51
1925,Berlin,Germany,9.32,1925,8.53
1926,Berlin,Germany,9.57,1926,8.73
1927,Berlin,Germany,8.72,1927,8.52
1928,Berlin,Germany,8.92,1928,8.63
1929,Berlin,Germany,7.99,1929,8.24
1930,Berlin,Germany,9.48,1930,8.63
1931,Berlin,Germany,8.35,1931,8.72
1932,Berlin,Germany,9.23,1932,8.71
1933,Berlin,Germany,8.32,1933,8.34
1934,Berlin,Germany,10.69,1934,8.63
1935,Berlin,Germany,9.34,1935,8.52
1936,Berlin,Germany,9.30,1936,8.55
1937,Berlin,Germany,9.41,1937,8.70
1938,Berlin,Germany,9.77,1938,8.86
1939,Berlin,Germany,9.32,1939,8.76
1940,Berlin,Germany,7.04,1940,8.76
1941,Berlin,Germany,7.62,1941,8.77
1942,Berlin,Germany,7.80,1942,8.73
1943,Berlin,Germany,9.67,1943,8.76
1944,Berlin,Germany,9.31,1944,8.85
1945,Berlin,Germany,9.64,1945,8.58
1946,Berlin,Germany,9.12,1946,8.68
1947,Berlin,Germany,8.79,1947,8.80
1948,Berlin,Germany,9.96,1948,8.75
1949,Berlin,Germany,10.04,1949,8.59
1950,Berlin,Germany,9.37,1950,8.37
1951,Berlin,Germany,9.72,1951,8.63
1952,Berlin,Germany,8.61,1952,8.64
1953,Berlin,Germany,10.13,1953,8.87
1954,Berlin,Germany,8.41,1954,8.56
1955,Berlin,Germany,8.36,1955,8.63
1956,Berlin,Germany,7.57,1956,8.28
1957,Berlin,Germany,9.46,1957,8.73
1958,Berlin,Germany,9.05,1958,8.77
1959,Berlin,Germany,9.88,1959,8.73
1960,Berlin,Germany,9.22,1960,8.58
1961,Berlin,Germany,9.81,1961,8.80
1962,Berlin,Germany,8.13,1962,8.75
1963,Berlin,Germany,8.12,1963,8.86
1964,Berlin,Germany,8.84,1964,8.41
1965,Berlin,Germany,8.33,1965,8.53
1966,Berlin,Germany,9.34,1966,8.60
1967,Berlin,Germany,10.08,1967,8.70
1968,Berlin,Germany,9.28,1968,8.52
1969,Berlin,Germany,8.43,1969,8.60
1970,Berlin,Germany,8.43,1970,8.70
1971,Berlin,Germany,9.54,1971,8.60
1972,Berlin,Germany,8.88,1972,8.50
1973,Berlin,Germany,9.24,1973,8.95
1974,Berlin,Germany,9.89,1974,8.47
1975,Berlin,Germany,10.08,1975,8.74
1976,Berlin,Germany,9.15,1976,8.35
1977,Berlin,Germany,9.54,1977,8.85
1978,Berlin,Germany,8.86,1978,8.69
1979,Berlin,Germany,8.53,1979,8.73
1980,Berlin,Germany,8.26,1980,8.98
1981,Berlin,Germany,9.18,1981,9.17
1982,Berlin,Germany,10.08,1982,8.64
1983,Berlin,Germany,10.21,1983,9.03
1984,Berlin,Germany,8.94,1984,8.69
1985,Berlin,Germany,8.46,1985,8.66
1986,Berlin,Germany,8.78,1986,8.83
1987,Berlin,Germany,8.09,1987,8.99
1988,Berlin,Germany,10.02,1988,9.20
1989,Berlin,Germany,10.72,1989,8.92
1990,Berlin,Germany,10.71,1990,9.23
1991,Berlin,Germany,9.36,1991,9.18
1992,Berlin,Germany,10.38,1992,8.84
1993,Berlin,Germany,9.34,1993,8.87
1994,Berlin,Germany,10.43,1994,9.04
1995,Berlin,Germany,9.75,1995,9.35
1996,Berlin,Germany,7.88,1996,9.04
1997,Berlin,Germany,9.73,1997,9.20
1998,Berlin,Germany,10.05,1998,9.52
1999,Berlin,Germany,10.58,1999,9.29
2000,Berlin,Germany,10.96,2000,9.20
2001,Berlin,Germany,9.69,2001,9.41
2002,Berlin,Germany,10.26,2002,9.57
2003,Berlin,Germany,10.07,2003,9.53
2004,Berlin,Germany,9.82,2004,9.32
2005,Berlin,Germany,9.92,2005,9.70
2006,Berlin,Germany,10.55,2006,9.53
2007,Berlin,Germany,10.88,2007,9.73
2008,Berlin,Germany,10.66,2008,9.43
2009,Berlin,Germany,10.06,2009,9.51
2010,Berlin,Germany,8.61,2010,9.70
2011,Berlin,Germany,10.56,2011,9.52
2012,Berlin,Germany,9.96,2012,9.51
2013,Berlin,Germany,10.12,2013,9.61
